frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,5.0,[1098.5457763671875 578.5020141601562 1393.9296875 867.0130615234375],[1202.9736328125 775.7949829101562 1288.3211669921875 819.8065795898438],0.5966732501983643,MO51YSU,0.03702063980255164
2,5.0,[1099.5271713029192 580.9409573257848 1392.7489704695363 868.550011250653],[1205.257568359375 774.7435913085938 1291.387939453125 820.8689575195312],0.5753752589225769,MO51FSU,0.1767051032737364
3,5.0,[1100.1532235624131 581.5214589956408 1392.4196119454023 868.3477217607667],[1205.29833984375 774.7369995117188 1291.3773193359375 820.8414916992188],0.5733582973480225,MO51FSU,0.1767051032737364
4,5.0,[1100.0498398642355 584.9190315613531 1393.2468374178763 873.2010140943934],[1205.621826171875 781.3986206054688 1292.4248046875 826.6055297851562],0.47058719396591187,KD51YSU,0.07594998582973493
6,2.0,[371.6097472604871 693.5094587294313 714.2442996410019 1004.8929588265596],[479.56549072265625 892.7581787109375 592.0614624023438 940.401123046875],0.5259546041488647,MA13NPU,0.7243955270386396
7,2.0,[370.6266180375966 694.5122442462763 714.5125571345396 1006.5913345935438],[479.67718505859375 892.8139038085938 591.99609375 940.3462524414062],0.52506422996521,MA13NPU,0.7243955270386396
8,2.0,[368.5909946246412 696.259003385801 712.3149583283772 1009.8223588757762],[474.161865234375 892.3712768554688 595.013671875 944.5464477539062],0.42234185338020325,NA13NRV,0.15298677454585158
9,2.0,[367.2998756257165 696.462395975777 711.2441088337865 1011.075140377383],[474.16363525390625 892.3848266601562 595.0968017578125 944.5446166992188],0.4253750145435333,NA13NRV,0.15298677454585158
10,2.0,[367.9272981301206 699.3125903785955 714.6511047024098 1015.3351572060452],[470.1940612792969 895.4489135742188 596.2603149414062 948.0162963867188],0.48594579100608826,NA13NFU,0.3967460834146707
11,2.0,[367.687236958515 700.083985250244 716.2536687786675 1016.9230219169954],[470.15863037109375 895.40478515625 596.304931640625 948.057861328125],0.4861615002155304,NA13NFU,0.3967460834146707
12,2.0,[365.00091036242793 702.4553729964418 713.0317664222446 1020.6154234793466],[470.73394775390625 900.82763671875 592.6820068359375 951.650390625],0.5028250813484192,NA13NRU,0.17472943790289572
13,5.0,[1098.019488749365 586.6944598343639 1404.770191720301 886.75826180946],[1208.8455810546875 794.2549438476562 1295.1915283203125 836.8985595703125],0.6312339305877686,HW51TSV,0.10443978714501662
14,2.0,[362.78573255070955 704.3160372669163 712.2865579064917 1024.541901320121],[468.6524963378906 903.0501708984375 593.1943969726562 955.2777099609375],0.5605508685112,NA13MRU,0.15859941433408334
15,2.0,[362.1312572256222 704.6126014902943 712.7131033176111 1025.58174193454],[468.6794128417969 903.0859375 593.1671142578125 955.2314453125],0.5599331259727478,NA13MRU,0.15859941433408334
16,5.0,[1099.0287663766862 594.1311060694168 1410.7812121966022 892.8259600322413],[1210.71923828125 798.2255859375 1294.8193359375 840.6221923828125],0.5995145440101624,NI51TSU,0.07746518232751112
17,5.0,[1099.1303423993413 595.4319551681485 1412.4345382827655 894.0431417910929],[1210.395263671875 798.2697143554688 1294.8817138671875 841.4020385742188],0.5998047590255737,WI51TSU,0.03004076059997886
18,2.0,[356.61195918070257 710.6830550772888 709.4138465263693 1032.5198355355994],[465.6312561035156 916.0340576171875 588.5355834960938 964.7904663085938],0.5609345436096191,NA13MRU,0.18827546516301955
19,2.0,[355.13773001862637 711.5561933325718 708.6405188165311 1034.2330312148451],[465.5658874511719 916.05322265625 588.080810546875 964.7638549804688],0.5615918040275574,NA13MRU,0.18827546516301955
20,2.0,[351.5774628806813 712.2800574978846 706.201274077171 1036.0034830759314],[462.9049377441406 917.5697021484375 590.7115478515625 971.9249267578125],0.5877954959869385,NA13NRU,0.15356480487014967
21,2.0,[349.3791266574019 712.3893859480586 705.040173586545 1036.8654216578225],[463.3369445800781 917.4541625976562 590.644287109375 971.9441528320312],0.585700511932373,NA13MRU,0.1042043814705984
22,5.0,[1097.7615176683348 597.8693068499673 1407.5266983188094 900.141922868945],[1209.230224609375 804.548583984375 1298.4854736328125 850.4989013671875],0.5641657710075378,MI51WSU,0.05318613619350379
22,2.0,[349.3505262421012 714.6817918103507 705.2018427265747 1039.8578468866604],[458.0137023925781 920.4263305664062 583.00732421875 971.5493774414062],0.4855724573135376,NA13NRU,0.2872455119290318
23,5.0,[1098.0854450289432 597.3649703481982 1406.4354171773887 900.7376557579756],[1208.876708984375 804.8925170898438 1298.233642578125 850.7100830078125],0.5707659125328064,MJ51WSU,0.17455687334707903
23,2.0,[349.1471859257821 715.5768918366615 705.2255264769143 1041.1333361130712],[457.9882507324219 920.3922729492188 583.0556640625 971.5504760742188],0.4912927746772766,NA13NRU,0.532218888430895
25,5.0,[1097.8869986830225 602.8101195320363 1406.1319407075391 905.5104667486781],[1213.1287841796875 810.4905395507812 1297.982421875 850.8733520507812],0.5587115287780762,NI15ISU,0.04081790894413424
25,2.0,[346.8668395414953 720.8512022475112 704.8646051217578 1046.8757073583474],[464.3066101074219 926.2587890625 580.155517578125 979.086181640625],0.5117442011833191,MA13NRU,0.42181133492275924
26,2.0,[346.37186925297163 721.348215572053 704.6695089724312 1048.114011918143],[463.4036865234375 930.618896484375 584.2803955078125 982.6201171875],0.5645953416824341,NA13NAU,0.2059214048976456
27,2.0,[346.2794125451164 721.313513454761 704.6998905600205 1048.6061838177923],[463.345458984375 930.5692749023438 584.3179321289062 982.6862182617188],0.5657147765159607,NA13NAU,0.2059214048976456
28,2.0,[345.1294204102203 724.4612697737933 702.9958142816183 1051.8325262617784],[455.45855712890625 937.4960327148438 582.4793701171875 984.5980834960938],0.3600156307220459,NA13NRU,0.5144158893314542
29,2.0,[344.97267960315463 725.7543644153245 702.1841356105683 1053.1314610905306],[455.62445068359375 937.694091796875 581.0015258789062 984.3076171875],0.3524421453475952,NA13NRU,0.5144158893314542
31,2.0,[342.0603688249571 730.7889033857632 700.8046981445773 1057.4745127716892],[462.10528564453125 940.0977172851562 579.7899780273438 992.3607788085938],0.5806813836097717,NA13NRU,0.3978397379306561
35,2.0,[338.01660998474995 738.0811797440925 699.1370231505932 1064.5969010507167],[446.4085693359375 940.7538452148438 581.2937622070312 997.3980712890625],0.46829652786254883,MA13NRU,0.5983814355185422
36,5.0,[1101.3471583730511 621.6125243328627 1414.435416425088 928.8033888011628],[1216.7376708984375 828.7940063476562 1307.97705078125 874.1842041015625],0.6293379664421082,NO51WSU,0.027334487983819537
40,5.0,[1104.6560966274544 623.5793015922455 1422.5587796640182 931.0677500752037],[1216.7198486328125 836.1903076171875 1306.8553466796875 876.3702392578125],0.6172463893890381,CO51YSU,0.16477501443668735
41,5.0,[1105.0806590850175 622.9021501934815 1424.087001842789 931.7898034932666],[1216.712158203125 836.19287109375 1306.8662109375 876.3779296875],0.6176477074623108,CO51YSU,0.16477501443668735
42,5.0,[1105.2785022983462 623.5719810968991 1426.0529005992744 934.5705568529432],[1217.95263671875 840.681884765625 1310.2275390625 881.5332641601562],0.6334972977638245,KV51VSU,0.036219702859917366
43,5.0,[1105.5511215021602 623.3783854395197 1427.1498794327877 935.8798083432112],[1217.7222900390625 840.6377563476562 1310.1239013671875 881.4442749023438],0.6330941319465637,CV51VSU,0.037685549904000484
46,5.0,[1104.059226042231 627.7893424267413 1428.1376497737435 941.4544008944076],[1219.3828125 845.6098022460938 1309.475341796875 887.0861206054688],0.6794720888137817,NT51VSV,0.17021859324626062
47,5.0,[1103.4232241519114 628.1530854241576 1428.0684993073999 942.8492202263799],[1219.374755859375 845.57373046875 1309.4783935546875 887.102783203125],0.6792480945587158,NT51VSV,0.17021859324626062
50,2.0,[324.1499533759982 763.7017764530809 691.3196391614931 1076.126115484115],[432.3868408203125 981.5582885742188 567.9810791015625 1037.463623046875],0.6229001879692078,NA13NRU,0.430337309261816
51,2.0,[323.9038640399204 764.6404415770626 691.1817777648128 1075.95960458948],[432.3359069824219 981.5203857421875 568.0173950195312 1037.506103515625],0.6230784058570862,NA13NRU,0.430337309261816
52,2.0,[322.09629486578245 767.8179918323682 690.7863221213718 1076.7552692478932],[437.8103942871094 987.1439208984375 570.8866577148438 1043.2001953125],0.6074230074882507,NA13NRU,0.2000342443784959
53,2.0,[320.7904932079842 769.3274973457951 690.7366418906815 1076.567634677411],[437.6341857910156 987.1802368164062 570.8914794921875 1043.189208984375],0.6064122915267944,NA13NRU,0.2000342443784959
60,2.0,[314.2154929533266 781.8107902490888 686.5571452539855 1076.1805396927787],[444.2839050292969 1009.4064331054688 547.306640625 1058.4610595703125],0.6727379560470581,NA13NRU,0.2293748595796429
61,2.0,[314.8058464049931 782.7989389305893 686.0649805215535 1075.9490616602636],[444.76220703125 1009.5247192382812 547.0241088867188 1058.2724609375],0.6721214652061462,HA13NRU,0.14634544010856743
104,5.0,[1117.5785670512892 705.0811962681169 1474.6806381654624 1055.0252064214176],[1243.2950439453125 949.7169799804688 1342.602294921875 994.1035766601562],0.6515404582023621,NW51YSV,0.031579416973005925
105,5.0,[1117.6464453020335 705.3899260167236 1474.7924344074231 1055.8589760752054],[1243.246337890625 949.570556640625 1342.720947265625 994.1884155273438],0.6514922976493835,NW51YSV,0.031579416973005925
112,5.0,[1119.0826780887753 721.8659534557988 1480.0804642518835 1068.8662344271354],[1246.4727783203125 967.9927368164062 1348.397705078125 1012.5818481445312],0.670063316822052,NI51VSU,0.14142761828552475
113,5.0,[1119.1436975123427 722.8643771856995 1480.8091958121693 1069.6579766941863],[1246.4588623046875 967.985595703125 1348.4039306640625 1012.607666015625],0.6702553629875183,NI51VSU,0.14142761828552475
114,5.0,[1119.2988246768327 725.0082287169809 1479.1276179961555 1071.6338702492542],[1247.9166259765625 973.1217651367188 1348.4659423828125 1017.9866333007812],0.661450982093811,NI51VSU,0.034378617768814616
115,5.0,[1119.9130920997172 725.8831234810318 1478.3732654226583 1072.3008701079846],[1247.7509765625 973.3778686523438 1348.7808837890625 1018.2423706054688],0.6600077152252197,MO51VSU,0.3008252195719023
116,6.0,[544.3366882765379 599.3335581920348 855.4221728146695 841.3431091227085],[652.6328125 750.249755859375 738.6325073242188 784.8909301757812],0.3131805956363678,GY15OGJ,0.18143970990341782
122,6.0,[538.9385428139219 607.1326540523585 853.5915114238662 850.4387835584687],[652.4812622070312 754.0980834960938 739.0725708007812 796.5331420898438],0.2812439799308777,IG15OGJ,0.47929750770024127
126,5.0,[1122.3071881118535 742.7363626778896 1479.8182408625544 1073.1811537213998],[1255.6607666015625 994.6644897460938 1362.210205078125 1045.2860107421875],0.6953327655792236,MW51VSU,0.08845993049116138
127,5.0,[1124.2371059289303 744.7128509960783 1480.809942976825 1072.7402110618023],[1255.6817626953125 994.6329345703125 1362.197509765625 1045.281005859375],0.6961382031440735,MW51VSU,0.08845993049116138
