frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
208,1,1027.5235499498801 553.0977068530215 1280.240567601956 774.6299819407757,1113.3482666015625 686.4410400390625 1213.7574462890625 731.5415649414062,0.40318742394447327,AP05JEO,0.2559081934818757
209,1,1026.9210909576022 553.6626286384543 1279.8499555050016 775.0319604994435,1112.2117919921875 684.873046875 1215.2364501953125 732.1881103515625,0.4032953083515167,AP05JEO,0.250165425544473
210,1,1026.9883109019536 554.4430021341673 1280.0962386317026 775.9634926934073,1111.968838778409 686.2115534002131 1215.0534556995738 733.1926879882812,0,0,0
211,1,1027.055530846305 555.2233756298804 1280.3425217584033 776.8950248873712,1111.7258855646307 687.5500599254261 1214.8704612038352 734.197265625,0,0,0
212,1,1027.1227507906563 556.0037491255933 1280.5888048851043 777.826557081335,1111.4829323508523 688.8885664506392 1214.6874667080965 735.2018432617188,0,0,0
213,1,1027.1899707350076 556.7841226213063 1280.8350880118053 778.7580892752987,1111.2399791370738 690.2270729758523 1214.504472212358 736.2064208984375,0,0,0
214,1,1027.257190679359 557.5644961170193 1281.081371138506 779.6896214692625,1110.9970259232955 691.5655795010654 1214.3214777166193 737.2109985351562,0,0,0
215,1,1027.3244106237103 558.3448696127324 1281.327654265207 780.6211536632264,1110.754072709517 692.9040860262784 1214.1384832208807 738.215576171875,0,0,0
216,1,1027.3916305680616 559.1252431084454 1281.5739373919077 781.5526858571902,1110.5111194957387 694.2425925514915 1213.955488725142 739.2201538085938,0,0,0
217,1,1027.458850512413 559.9056166041584 1281.8202205186087 782.484218051154,1110.2681662819602 695.5810990767045 1213.7724942294035 740.2247314453125,0,0,0
218,1,1027.5260704567643 560.6859900998713 1282.0665036453097 783.4157502451178,1110.0252130681818 696.9196056019176 1213.5894997336648 741.2293090820312,0,0,0
219,1,1027.5932904011156 561.4663635955844 1282.3127867720104 784.3472824390817,1109.7822598544035 698.2581121271306 1213.4065052379262 742.23388671875,0,0,0
220,1,1027.660510345467 562.2467370912974 1282.5590698987114 785.2788146330455,1109.539306640625 699.5966186523438 1213.2235107421875 743.2384643554688,0.4328226149082184,AP05JEO,0.1317486302462652
221,1,1027.7625662568475 562.2794786056802 1282.5128634773614 786.0290057150651,1109.517333984375 699.59765625 1213.2095947265625 743.2144775390625,0.4301421344280243,AP05JEO,0.1317486302462652
222,1,1027.633197440207 563.150387352047 1283.3292504092474 787.191746011894,1109.6074981689453 701.2173156738281 1213.3389587402344 744.9620132446289,0,0,0
223,1,1027.5038286235663 564.0212960984138 1284.1456373411331 788.3544863087229,1109.6976623535156 702.8369750976562 1213.4683227539062 746.7095489501953,0,0,0
224,1,1027.3744598069256 564.8922048447805 1284.9620242730189 789.5172266055517,1109.787826538086 704.4566345214844 1213.5976867675781 748.4570846557617,0,0,0
225,1,1027.245090990285 565.7631135911473 1285.7784112049048 790.6799669023807,1109.8779907226562 706.0762939453125 1213.72705078125 750.2046203613281,0,0,0
226,1,1027.1157221736444 566.6340223375141 1286.5947981367908 791.8427071992096,1109.9681549072266 707.6959533691406 1213.8564147949219 751.9521560668945,0,0,0
227,1,1026.9863533570037 567.5049310838808 1287.4111850686766 793.0054474960384,1110.0583190917969 709.3156127929688 1213.9857788085938 753.6996917724609,0,0,0
228,1,1026.856984540363 568.3758398302476 1288.2275720005623 794.1681877928673,1110.1484832763672 710.9352722167969 1214.1151428222656 755.4472274780273,0,0,0
229,1,1026.7276157237225 569.2467485766144 1289.0439589324483 795.3309280896963,1110.2386474609375 712.554931640625 1214.2445068359375 757.1947631835938,0.3138117790222168,AF35JEO,0.14287623538594074
230,1,1026.9580861914974 569.673758150585 1289.8384070616135 796.2116890620516,1111.7928161621094 712.7713623046875 1215.2071228027344 756.8237457275391,0,0,0
231,1,1027.1885566592723 570.1007677245553 1290.6328551907786 797.0924500344069,1113.3469848632812 712.98779296875 1216.1697387695312 756.4527282714844,0,0,0
232,1,1027.4190271270475 570.5277772985257 1291.4273033199436 797.9732110067621,1114.9011535644531 713.2042236328125 1217.1323547363281 756.0817108154297,0,0,0
233,1,1027.6494975948224 570.9547868724962 1292.2217514491088 798.8539719791174,1116.455322265625 713.420654296875 1218.094970703125 755.710693359375,0.3789171576499939,IF05JEO,0.24088007292674699
234,1,1027.400326382732 572.2338013435809 1292.3831513644946 800.4757811674622,1116.761489868164 714.3901290893555 1218.19287109375 757.2508163452148,0,0,0
235,1,1027.1511551706417 573.5128158146655 1292.5445512798806 802.0975903558068,1117.0676574707031 715.3596038818359 1218.290771484375 758.7909393310547,0,0,0
236,1,1026.9019839585512 574.7918302857502 1292.7059511952664 803.7193995441515,1117.3738250732422 716.3290786743164 1218.388671875 760.3310623168945,0,0,0
237,1,1026.6528127464608 576.0708447568347 1292.8673511106522 805.3412087324962,1117.6799926757812 717.2985534667969 1218.486572265625 761.8711853027344,0,0,0
238,1,1026.4036415343705 577.3498592279194 1293.0287510260382 806.9630179208409,1117.9861602783203 718.2680282592773 1218.58447265625 763.4113082885742,0,0,0
239,1,1026.15447032228 578.6288736990041 1293.190150941424 808.5848271091857,1118.2923278808594 719.2375030517578 1218.682373046875 764.9514312744141,0,0,0
240,1,1025.9052991101898 579.9078881700887 1293.35155085681 810.2066362975303,1118.5984954833984 720.2069778442383 1218.7802734375 766.4915542602539,0,0,0
241,1,1025.6561278980994 581.1869026411733 1293.5129507721958 811.828445485875,1118.9046630859375 721.1764526367188 1218.878173828125 768.0316772460938,0.3240676522254944,AP05JEO,0.33413281485935326
242,1,1025.1286822227448 581.5274342151763 1293.7887785824241 813.3571965449646,1114.332275390625 721.264404296875 1209.967529296875 768.09765625,0.48773229122161865,AP05JEQ,0.6685676722208421
243,1,1024.7399163474429 581.4040079241462 1294.0263166284885 814.0839680487435,1114.3128662109375 721.3043823242188 1209.9986572265625 768.1175537109375,0.48868680000305176,AP05JEQ,0.6685676722208421
244,1,1025.2242056706114 583.1629647033029 1294.5894573163037 816.2690186129588,1106.6795654296875 724.2913818359375 1216.234130859375 768.6483764648438,0.4563503861427307,AP05JEO,0.40410273018697274
245,1,1025.1781259594757 583.6413800854663 1294.6989846816402 816.9707223782542,1106.8389892578125 724.375732421875 1216.24853515625 768.5235595703125,0.4409065246582031,AP05JEO,0.40410273018697274
246,1,1022.983384993413 586.2087522203102 1294.2536195636694 819.7315454888491,1122.6181640625 734.3800048828125 1218.7196044921875 778.4871826171875,0.3822824954986572,AP05JEU,0.6548224919953517
247,1,1021.7435037875007 587.0818589226344 1294.3168676034443 820.726654108325,1121.917724609375 734.1822509765625 1218.4644775390625 778.55859375,0.4075218737125397,AP05JEU,0.40478216656382965
248,1,1020.636247489729 587.9365870044912 1294.7032377306346 821.6721336684598,1114.8988037109375 731.7914428710938 1215.3988037109375 774.9625854492188,0.327033132314682,AF05JEQ,0.729653356647707
249,1,1019.9592783891085 588.2097452732166 1295.1124079630536 822.0076753083149,1114.89892578125 731.79150390625 1215.3963623046875 774.9622802734375,0.32698380947113037,AF05JEQ,0.729653356647707
250,1,1020.9274635977965 589.8124464252302 1295.7575012870627 823.1501988302249,1113.840576171875 732.2776285807291 1217.6710205078125 776.3783365885416,0,0,0
251,1,1021.8956488064845 591.4151475772436 1296.4025946110717 824.292722352135,1112.7822265625 732.7637532552084 1219.9456787109375 777.7943929036459,0,0,0
252,1,1022.8638340151725 593.0178487292571 1297.0476879350808 825.435245874045,1111.723876953125 733.2498779296875 1222.2203369140625 779.21044921875,0.34475821256637573,AF05JEO,0.22426328607458212
253,1,1023.1897524713354 593.5379301001058 1297.414874506301 826.2932779796272,1111.7249755859375 734.3659057617188 1222.6282958984375 779.0108642578125,0,0,0
254,1,1023.5156709274984 594.0580114709543 1297.7820610775211 827.1513100852095,1111.72607421875 735.48193359375 1223.0362548828125 778.811279296875,0.48560237884521484,AP05JED,0.40697672930787293
255,1,1023.215794178723 594.2413127199353 1297.9853686141412 827.5626408667125,1111.8638916015625 735.5601196289062 1222.9434814453125 778.6561889648438,0.4570504128932953,AP05JED,0.40697672930787293
256,1,1023.3514774200158 595.2135270245653 1298.341022151422 829.0404370448057,1112.6248914930557 736.6872151692709 1223.1389567057292 780.0425415039062,0,0,0
257,1,1023.4871606613086 596.1857413291954 1298.696675688703 830.5182332228989,1113.3858913845486 737.8143107096354 1223.3344319661458 781.4288940429688,0,0,0
258,1,1023.6228439026015 597.1579556338254 1299.052329225984 831.996029400992,1114.1468912760417 738.94140625 1223.5299072265625 782.8152465820312,0,0,0
259,1,1023.7585271438944 598.1301699384554 1299.407982763265 833.4738255790852,1114.9078911675347 740.0685017903646 1223.7253824869792 784.2015991210938,0,0,0
260,1,1023.8942103851872 599.1023842430856 1299.7636363005458 834.9516217571785,1115.6688910590278 741.1955973307291 1223.9208577473958 785.5879516601562,0,0,0
261,1,1024.02989362648 600.0745985477156 1300.1192898378267 836.4294179352717,1116.4298909505208 742.3226928710938 1224.1163330078125 786.9743041992188,0,0,0
262,1,1024.1655768677729 601.0468128523456 1300.4749433751078 837.9072141133648,1117.190890842014 743.4497884114584 1224.3118082682292 788.3606567382812,0,0,0
263,1,1024.3012601090659 602.0190271569757 1300.8305969123887 839.385010291458,1117.9518907335068 744.5768839518229 1224.5072835286458 789.7470092773438,0,0,0
264,1,1024.4369433503587 602.9912414616057 1301.1862504496696 840.8628064695512,1118.712890625 745.7039794921875 1224.7027587890625 791.1333618164062,0.4270642101764679,AP05JEO,0.3766767660138419
265,1,1023.9563717221787 603.7608236834325 1301.6114735174292 841.731326429254,1118.121826171875 745.8775634765625 1215.3753662109375 790.1277465820312,0.4241645932197571,AP05JEO,0.31673000973082654
266,1,1023.3831543765741 604.5262140481799 1301.9586851168579 842.374725766616,1118.7324462890624 748.128076171875 1215.209130859375 791.7861328125,0,0,0
267,1,1022.8099370309696 605.2916044129274 1302.3058967162865 843.0181251039782,1119.34306640625 750.3785888671875 1215.0428955078125 793.4445190429688,0,0,0
268,1,1022.2367196853651 606.0569947776748 1302.6531083157154 843.6615244413402,1119.9536865234375 752.6291015625 1214.87666015625 795.1029052734375,0,0,0
269,1,1021.6635023397606 606.8223851424224 1303.000319915144 844.3049237787023,1120.564306640625 754.8796142578125 1214.7104248046876 796.7612915039062,0,0,0
270,1,1021.090284994156 607.5877755071698 1303.3475315145727 844.9483231160644,1121.1749267578125 757.130126953125 1214.544189453125 798.419677734375,0.3161047101020813,AP05JEO,0.07362677486543719
